gene,residual_baseline_cindex,residual_perturbed_cindex_mean,residual_perturbed_cindex_std,residual_delta_cindex_mean,residual_delta_cindex_std,residual_method,residual_n_repeats,gated_baseline_cindex,gated_perturbed_cindex_mean,gated_perturbed_cindex_std,gated_delta_cindex_mean,gated_delta_cindex_std,gated_method,gated_n_repeats,max_delta_cindex,mean_delta_cindex
CASP12,0.6623070974683118,0.6618733819722287,0.0005338177839114799,0.0004337154960831757,0.0005338177839114799,shuffle,10,0.6660054466597183,0.6660020845240896,0.0002770244703643385,3.362135628681706e-06,0.0002770244703643385,shuffle,10,0.0004337154960831757,0.00021853881585592871
CD200R1L,0.6623070974683118,0.6618801062434859,0.0003972587689446539,0.00042699122482592333,0.0003972587689446539,shuffle,10,0.6660054466597183,0.6662004505261742,0.00015020884176906692,-0.00019500386645587842,0.00015020884176906692,shuffle,10,0.00042699122482592333,0.00011599367918502246
ARHGAP5,0.6623070974683118,0.6618969169216287,0.00026804466836559307,0.00041018054668318094,0.00026804466836559307,shuffle,10,0.6660054466597183,0.6661231214067175,0.00014751310203059585,-0.00011767474699919678,0.00014751310203059585,shuffle,10,0.00041018054668318094,0.00014625289984199208
CLDN19,0.6623070974683118,0.6619002790572571,0.0002757976066276505,0.0004068184110547213,0.0002757976066276505,shuffle,10,0.6660054466597183,0.665887771912719,0.000298927703733936,0.0001176747469993078,0.000298927703733936,shuffle,10,0.0004068184110547213,0.00026224657902701454
FAM9C,0.6623070974683118,0.6619002790572571,0.00025045089690297473,0.0004068184110547213,0.00025045089690297473,shuffle,10,0.6660054466597183,0.6660995864573176,0.00018279631804549173,-9.413979759931301e-05,0.00018279631804549173,shuffle,10,0.0004068184110547213,0.00015633930672770413
VWC2L,0.6623070974683118,0.6619002790572572,0.0004140890101572717,0.00040681841105461025,0.0004140890101572717,shuffle,10,0.6660054466597183,0.6658675990989477,0.0001904583806377228,0.00013784756077062088,0.0001904583806377228,shuffle,10,0.00040681841105461025,0.00027233298591261557
TGM4,0.6623070974683118,0.6619137275997714,0.00029504536098494036,0.00039336986854043854,0.00029504536098494036,shuffle,10,0.6660054466597183,0.6659684631678042,0.0001910509719285232,3.698349191405548e-05,0.0001910509719285232,shuffle,10,0.00039336986854043854,0.000215176680227247
ANP32E,0.6623070974683118,0.6619204518710283,0.00019733759998423697,0.0003866455972835192,0.00019733759998423697,shuffle,10,0.6660054466597183,0.6661735534411457,0.00034907971226621196,-0.00016810678142742397,0.00034907971226621196,shuffle,10,0.0003866455972835192,0.00010926940792804762
TMEM41A,0.6623070974683118,0.6619238140066569,0.00017866832875749613,0.00038328346165494853,0.00017866832875749613,shuffle,10,0.6660054466597183,0.6657869078438624,0.00027448290773474316,0.0002185388158558732,0.00027448290773474316,shuffle,10,0.00038328346165494853,0.00030091113875541087
CLCF1,0.6623070974683118,0.661923814006657,0.0002106103589196197,0.0003832834616548375,0.0002106103589196197,shuffle,10,0.6660054466597183,0.666119759271089,7.242261785475627e-05,-0.00011431261137073712,7.242261785475627e-05,shuffle,10,0.0003832834616548375,0.0001344854251420502
LOC105378146,0.6623070974683118,0.6619271761422856,0.000377114134241125,0.0003799213260262668,0.000377114134241125,shuffle,10,0.6660054466597183,0.6661533806273745,0.00020127935375846925,-0.0001479339676562219,0.00020127935375846925,shuffle,10,0.0003799213260262668,0.00011599367918502246
LOC100132481,0.6623070974683118,0.6619372625491712,0.00022098210301790133,0.0003698349191406658,0.00022098210301790133,shuffle,10,0.6660054466597183,0.6660020845240896,0.00011593275493102266,3.362135628681706e-06,0.00011593275493102266,shuffle,10,0.0003698349191406658,0.00018659852738467375
NPY6R,0.6623070974683118,0.6619406246847997,0.0003581739751450458,0.0003664727835120951,0.0003581739751450458,shuffle,10,0.6660054466597183,0.6659113068621189,0.0001970796609589176,9.413979759942404e-05,0.0001970796609589176,shuffle,10,0.0003664727835120951,0.00023030629055575957
PARN,0.6623070974683118,0.6619406246847999,0.0005150655715602319,0.0003664727835119841,0.0005150655715602319,shuffle,10,0.6660054466597183,0.6660995864573177,0.00017392350679323954,-9.413979759942404e-05,0.00017392350679323954,shuffle,10,0.0003664727835119841,0.00013616649295628003
SMIM17,0.6623070974683118,0.6619540732273139,0.00022365152633643733,0.0003530242409979234,0.00022365152633643733,shuffle,10,0.6660054466597183,0.6658474262851765,0.00013452744527277466,0.00015802037454182294,0.00013452744527277466,shuffle,10,0.0003530242409979234,0.00025552230776987317
LOC389834,0.6623070974683118,0.6619607974985711,0.00034255856007103395,0.00034629996974078203,0.00034255856007103395,shuffle,10,0.6660054466597183,0.666277779645631,0.00014766628286318754,-0.0002723329859126711,0.00014766628286318754,shuffle,10,0.00034629996974078203,3.698349191405548e-05
RIF1,0.6623070974683118,0.6619607974985711,0.00046125020931096083,0.00034629996974078203,0.00046125020931096083,shuffle,10,0.6660054466597183,0.6661970883905457,0.00029885206413157484,-0.00019164173082741875,0.00029885206413157484,shuffle,10,0.00034629996974078203,7.732911945668164e-05
OR4F21,0.6623070974683118,0.6619675217698282,0.0004586450881898091,0.00033957569848364066,0.0004586450881898091,shuffle,10,0.6660054466597183,0.6661836398480314,0.00022755971165004435,-0.00017819318831313602,0.00022755971165004435,shuffle,10,0.00033957569848364066,8.069125508525232e-05
