layer,head,gene,mean_attention_score
0,0,PDE3A,0.0019617995712906122
0,0,COG6,0.0021046518813818693
0,0,HS6ST3,0.0020177329424768686
0,0,ACOT1,0.001991843106225133
0,0,TUBB2B,0.0020120672415941954
0,0,CAPN7,0.001973341917619109
0,0,TULP1,0.0019846376962959766
0,0,HCRTR2,0.001959281275048852
0,0,HBCBP,0.0019501560600474477
0,0,HEXD,0.001973413396626711
0,0,SCAMP3,0.0019740196876227856
0,0,GMPS,0.0019731558859348297
0,0,ARHGAP5,0.0019955371972173452
0,0,SRPK1,0.0019804397597908974
0,0,CACNA2D3,0.00196919240988791
0,0,DLGAP1-AS5,0.002014156896620989
0,0,DIS3L,0.0019709535408765078
0,0,SIRPA,0.001989897107705474
0,0,RACK1,0.0019770811777561903
0,0,DIRAS1,0.001976949395611882
0,0,LARS1,0.0019752057269215584
0,0,ZNF493,0.002000330248847604
0,0,SULT1C4,0.0020108495373278856
0,0,IAPP,0.001975166378542781
0,0,TARS1,0.0019959609489887953
0,0,CDK14,0.0019793712999671698
0,0,TAFA4,0.0019784048199653625
0,0,DHX33,0.001975743332877755
0,0,CPA3,0.0020572571083903313
0,0,LHFPL3-AS1,0.0020334150176495314
0,0,LGR5,0.0020180342253297567
0,0,PTBP2,0.0019820404704660177
0,0,LILRA1,0.001999456435441971
0,0,B4GALT1,0.001973808975890279
0,0,LGI3,0.0020320971962064505
0,0,KRTAP10-2,0.0020116667728871107
0,0,HPF1,0.0019843776244670153
0,0,OR10D1P,0.001951283193193376
0,0,EIF2AK4,0.0019748222548514605
0,0,DENND1A,0.002008381299674511
0,0,C9orf139,0.001979899825528264
0,0,BHLHE22-AS1,0.0020094558130949736
0,0,ARL4A,0.00205852254293859
0,0,GEMIN6,0.00196980987675488
0,0,DEFB135,0.0021459260024130344
0,0,LRP2,0.0019643809646368027
0,0,CDH6,0.00197185343131423
0,0,OR6A2,0.0020693668629974127
0,0,NKIRAS2,0.0019878039602190256
0,0,ANKMY2,0.002028791233897209
0,0,OR10C1,0.001988499891012907
0,0,R3HDM1,0.001955397892743349
0,0,RAB15,0.001964451279491186
