covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CEACAM6,0.021322622916941605,1.0215515744276167,0.024944530426456543,-0.027567758330176773,0.07021300416405998,0.9728087644227694,1.0727366542948027,0.0,0.8548015357437441,0.39266102787423185,1.3486436791664336
APOA2,0.020723090843399634,1.0209393050498743,0.023444434711340664,-0.025227156828728767,0.06667333851552804,0.9750883888828887,1.0689462375711931,0.0,0.883923673082864,0.3767374170297386,1.4083687680462207
FBXL19,0.020612522976385744,1.020826428208955,0.024118963477941853,-0.026659776784817207,0.0678848227375887,0.9736924579560272,1.0702420338321181,0.0,0.8546189389621596,0.39276213940721993,1.3482722281726225
INA,0.020566412036556583,1.0207793580281814,0.024361528493554,-0.027181306419155574,0.06831413049226874,0.9731847808802984,1.0707015956763002,0.0,0.8442168167731514,0.3985482589563015,1.3271736686852864
THBD,0.02052106719346039,1.02073307199778,0.024225819159872326,-0.02696066585586976,0.06800280024279054,0.9733995286086916,1.0703683057657092,0.0,0.8470742334051394,0.39695374602960265,1.3329571838953298
CUEDC1,0.020507158923855757,1.0207188754657452,0.025325525391147765,-0.02912995873234853,0.07014427658006005,0.9712902286172035,1.0726629302297523,0.0,0.809742684786464,0.41808807993271213,1.258121183452483
SLC22A25,0.020404370968006624,1.0206139632509879,0.023629188644000383,-0.025907987758136963,0.06671672969415021,0.9744247444892801,1.0689926214146426,0.0,0.8635239777133624,0.38784944198181315,1.3664313689173266
LINC-PINT,0.0203780210571895,1.0205870705183895,0.024371606101163186,-0.027389449146486992,0.068145491260866,0.9729822406251802,1.070521048606231,0.0,0.83613779791956,0.4030773865182725,1.3108712476276072
PROX1,0.020374389036250377,1.020583363731511,0.024366359006061607,-0.027382797050003557,0.06813157512250431,0.972988713018449,1.0705061511908573,0.0,0.8361687944916946,0.4030599510052939,1.310933654185256
MLLT4,0.020364426149620248,1.0205731958258124,0.023671471809839605,-0.02603080605872055,0.06675965835796105,0.9743050746470892,1.069038512824525,0.0,0.8602940414188903,0.3896269766371391,1.3598345260059468
NDUFA13,0.02024263657666982,1.0204489082207489,0.024903326934289576,-0.028566987309764025,0.06905226046310367,0.971837191206658,1.0714922043639774,0.0,0.8128486860443367,0.41630481789054874,1.2642878400206132
VWC2L,0.02023640888539555,1.0204425531997758,0.023462935625773746,-0.02575009991270275,0.06622291768349385,0.9745786064588732,1.0684648703345203,0.0,0.8624840986720392,0.3884211796875685,1.3643062252395801
OR5AS1,0.02013843320021811,1.0203425795390157,0.02352368704647436,-0.025967146194463032,0.06624401259489926,0.9743671007501521,1.0684874097440324,0.0,0.8560916985688424,0.3919470600610483,1.3512692909172617
VN1R10P,0.019958537578066902,1.0201590408852574,0.023863817899544802,-0.02681368603866319,0.066730761194797,0.9735426092081981,1.069007621090535,0.0,0.8363514028678373,0.4029572433135641,1.3113013284219006
TBCA,0.01991218039990627,1.0201117502869848,0.025823390325992405,-0.03070073459775889,0.07052509539757143,0.9697657469907065,1.0730714982486882,0.0,0.7710908656274991,0.44065307445743396,1.1822848239858776
FXYD5,0.019840157267668208,1.0200382812892617,0.025348285495727256,-0.029841569373796246,0.06952188390913266,0.9705992940219473,1.0719955204006397,0.0,0.7827021386125895,0.433802046086601,1.2048912371929177
C2CD2,0.019838736634985504,1.0200368321905708,0.02507073107926464,-0.029298993346462188,0.0689764666164332,0.9711260608236274,1.071410994925758,0.0,0.7913106551325747,0.4287627321759001,1.221748581912587
IGFBP5,0.01971950472019164,1.0199152184961695,0.02451608413765214,-0.028331137231560263,0.06777014667194355,0.9720664261156784,1.0701193097232837,0.0,0.8043496917970743,0.42119504679919073,1.2474396243363195
LCN2,0.019674826985022355,1.0198696520120536,0.02513257810805746,-0.029584120945410082,0.0689337749154548,0.9708492054530582,1.0713652555442907,0.0,0.7828415732134794,0.4337201510457015,1.2051636211621592
PROCA1,0.01956197940820688,1.0197545686867158,0.023573819548960838,-0.02664185788580262,0.06576581670221639,0.9737099056091736,1.0679765856000474,0.0,0.8298179837840151,0.4066417013892487,1.2981699227383754
GRIP1,0.01943347645802192,1.019623535635422,0.024220709716464797,-0.028038242266248427,0.06690519518229227,0.9723511811774624,1.0691941086169534,0.0,0.8023495878327379,0.4223507655294564,1.2434864289088543
HS6ST3,0.019337782118968104,1.0195259681035005,0.023452408603670257,-0.0266280940949429,0.0653036583328791,0.9737233076409036,1.0674831253199386,0.0,0.824554204464175,0.40962473011790623,1.2876252776416015
ZNF530,0.01917482467143935,1.0193598422901358,0.023806021799229672,-0.02748412067022623,0.06583377001310492,0.972890131274024,1.0680491606108184,0.0,0.8054611069901574,0.4205536413973231,1.2496382676714286
ZNF563,0.01914949695706248,1.0193340245621565,0.024484119791237328,-0.028838496026927028,0.06713748994105198,0.9715733647547936,1.0694425056540298,0.0,0.7821190682099151,0.43414460148920897,1.203752450592122
BTBD17,0.0191439506637007,1.0193283710523007,0.023554554354814475,-0.02702212754362676,0.06531002887102816,0.9733397036692912,1.067489925783573,0.0,0.8127494316099314,0.41636173375356533,1.2640906128513756
FAM171A2,0.01906642697263193,1.0192493520175288,0.023462144315384872,-0.02691853088560358,0.06505138483086745,0.973440543632964,1.0672138615790572,0.0,0.8126463939670455,0.41642082389417,1.2638858798098969
MT1B,0.019004827349731582,1.019186568575541,0.023528157745563275,-0.02710951445414955,0.06511916915361271,0.9732546502360307,1.0672862043997156,0.0,0.807748211961701,0.4192355433212943,1.2541670593106815
PKP4,0.018934930737128024,1.0191153333763652,0.02575818631660614,-0.03155018675049244,0.0694200482247485,0.9689423271666618,1.0718863585615426,0.0,0.7351034154497437,0.4622765144177682,1.1131720253995796
PJA2,0.018923806131716233,1.0191039961834734,0.024915874662793967,-0.029910410850674005,0.06775802311410647,0.970532478832945,1.070106336148583,0.0,0.7595079999328506,0.44754873034077114,1.1598833193407723
RPL41,0.01889561292040745,1.0190752647741805,0.025398946063778058,-0.030885406609872913,0.06867663245068781,0.9695866749342379,1.0710897974593176,0.0,0.7439526377574721,0.45690512883438084,1.130033457763638
EPS8L1,0.018703980153102595,1.018879995271715,0.025518352364478594,-0.03131107142607798,0.06871903173228316,0.9691740438279594,1.0711352118600161,0.0,0.7329619046697714,0.46358166462843786,1.109104588233949
LOC729175,0.01862399482265157,1.0187985030777367,0.023917379029681534,-0.028253206680117784,0.06550119632542092,0.9721421827401436,1.0676940146222254,0.0,0.7786804231157244,0.43616799103686943,1.1970441957633557
FKBPL,0.018589479551292785,1.0187633395777855,0.024743824943522043,-0.029907526177774254,0.06708648528035982,0.970535278505723,1.0693879604929397,0.0,0.7512775245429275,0.4524856525322266,1.1440560471086818
WBP1L,0.018518648177776414,1.018691181726705,0.025754129143131403,-0.03195851739595454,0.06899581375150737,0.968546759087575,1.0714317238595188,0.0,0.7190554988233923,0.4721067250049674,1.0828150610828968
CSRNP2,0.018501490320208945,1.0186737033184503,0.024954653435994605,-0.030408731661019192,0.06741171230143708,0.9700489627846868,1.069735810915819,0.0,0.7414044185250991,0.45844826621307355,1.1251691534091408
KALRN,0.01841507261789434,1.018585675681229,0.02469394520474576,-0.029984170619612917,0.0668143158554016,0.9704608952215863,1.069096945391178,0.0,0.7457323026032825,0.45582914171200595,1.1334349340852756
PTF1A,0.018329132950291906,1.0184981425281752,0.023450180861456702,-0.027632376969113692,0.0642906428696975,0.9727459048754374,1.0664022959481663,0.0,0.7816201102490481,0.43443786467811696,1.202778244040943
CR1,0.018251627165839827,1.0184192060897304,0.025005644135991382,-0.030758534750928476,0.06726178908260813,0.9697096960018852,1.0695754447013597,0.0,0.7299003003713752,0.465451128698,1.103298398824909
FCN2,0.018140855741445572,1.0183064005915696,0.024374678057178602,-0.029632635385383226,0.06591434686827437,0.9708021063900589,1.068135224120664,0.0,0.7442500655348306,0.45672520445190257,1.1306016876225533
SULT2B1,0.018104050501778476,1.0182689222701449,0.025146803401481916,-0.031182778491435408,0.06739087949499237,0.9692983899864178,1.0697135255488575,0.0,0.7199344669275776,0.47156534538829076,1.0844703941131086
BZW2,0.018097677454407574,1.0182624328147456,0.02498343134965679,-0.030868948201148647,0.0670643031099638,0.9696026329193486,1.069364239410074,0.0,0.724387182894162,0.46882806638325814,1.0928691556307966
KLKP1,0.01807297197828378,1.0182372764672751,0.024239416404492273,-0.029435411180790447,0.06558135513735801,0.9709935909453825,1.067779603136241,0.0,0.7456026034906653,0.45590750973085337,1.1331869213455115
SP6,0.018029464806930882,1.0181929768072933,0.02437360891406375,-0.029741930837898483,0.06580086045176024,0.9706960079326832,1.0680140121598116,0.0,0.7397125665919645,0.45947442130847693,1.1219435451871067
STX1B,0.017976957842575775,1.0181395159884985,0.023491518011550222,-0.028065571402236644,0.0640194870873882,0.9723246080229163,1.0661131739996677,0.0,0.7652531366315677,0.44412082388742513,1.1709758770730052
DEFB135,0.01784791293918275,1.0180081387499809,0.023428098268678702,-0.028070315893692698,0.0637661417720582,0.9723199948480645,1.0658431134321573,0.0,0.7618165475703093,0.4461695027786621,1.1643361911073364
SLC38A2,0.017795775460931657,1.0179550637563977,0.025613157975833883,-0.03240509170203759,0.0679966426239009,0.9681143275543193,1.070361714865903,0.0,0.6947903682053592,0.4871866852033504,1.0374533899140277
UCMA,0.017792465976680088,1.01795169485572,0.023449093293187232,-0.02816691234808662,0.0637518443014468,0.972226076720178,1.065827874680505,0.0,0.7587698916209017,0.44799021940326744,1.158460859417948
FGF12,0.017757501985316403,1.0179161038236582,0.02419082865094496,-0.02965565092671538,0.06517065489734819,0.9707797631111762,1.0673411558383235,0.0,0.7340592685576626,0.46291261659865246,1.111188211332387
LINC01667,0.017752418051624166,1.0179109288188368,0.02423293553447152,-0.029743262835620902,0.06524809893886924,0.9706947149686727,1.0674238182519276,0.0,0.7325739808275076,0.46381830539848035,1.1083683353034857
PPP1R32,0.017745743710109015,1.0179041349563382,0.023573535913287997,-0.02845753766819699,0.06394902508841502,0.9719435642600371,1.0660380561808027,0.0,0.7527824326136006,0.45158066501116156,1.146944378239852
LINC00639,0.01774248827516165,1.017900821241038,0.023981374590107248,-0.029260142221212558,0.06474511877153585,0.971163790896773,1.0668870602418405,0.0,0.7398445075988576,0.45939434921396394,1.1221949839510863
CERS5,0.017709614809580953,1.0178673598634251,0.024588373571227735,-0.03048271182844192,0.06590194144760382,0.9699772010545169,1.0681219735360654,0.0,0.7202434418152809,0.4713751209558644,1.0850524793217418
CYP4A11,0.01763926470103197,1.017795755302894,0.02418112334605313,-0.029754866162952844,0.06503339556501678,0.970683451745501,1.067194663357863,0.0,0.7294642373970219,0.46571773610922396,1.1024722689679427
KRTAP13-1,0.017578190267371972,1.017733595901752,0.023635424675923746,-0.02874639085674785,0.0639027713914918,0.971662855806127,1.0659887491199695,0.0,0.7437222097082951,0.4570445501299427,1.1295932969585274
SLC26A6,0.017562025404841475,1.017717144511049,0.02551706513860276,-0.032450503257982495,0.06757455406766544,0.9680703649745845,1.0699100227687643,0.0,0.6882462896672732,0.4912976983975905,1.0253306144350283
GRIN1,0.017560762000943485,1.0177158587240538,0.02403990535082138,-0.029556586678418154,0.06467811068030513,0.9708759374423113,1.0668155725715278,0.0,0.7304838244857517,0.46509449678469394,1.1044042255653723
ACTC1,0.017489781961424946,1.017643623775833,0.023547191597447163,-0.028661865506635676,0.06364142942948557,0.9717449894203423,1.0657101979289405,0.0,0.7427544762204711,0.4576303415217583,1.127745386932297
FAM106A,0.01744382432854969,1.0175968563584419,0.023480192026852458,-0.02857650639416566,0.06346415505126504,0.9718279402504406,1.0655212915608636,0.0,0.7429165957672133,0.457532177444536,1.1280548856825412
RUFY1,0.017397699384744825,1.0175499208430836,0.025029906645893305,-0.03166001617760579,0.06645541494709545,0.9688359146296842,1.0687133143732879,0.0,0.6950764791445714,0.48700737414589046,1.0379844774808482
SIGLEC6,0.01738359579146643,1.0175355698340602,0.02520978167828106,-0.03202666835608217,0.06679385993901503,0.9684807539451973,1.0690750762571313,0.0,0.6895575698873619,0.49047245787901705,1.0277559696497358
LMF2,0.01733492605650173,1.01748604785268,0.02563877792816004,-0.032916155290312415,0.06758600740331587,0.9676196859796342,1.0699222768775458,0.0,0.6761213855463105,0.4989635798868801,1.002993579994448
SASH1,0.017254312225789156,1.0174040277106893,0.024981697449407144,-0.03170891504772498,0.06621753949930329,0.9687885408064008,1.0684591239490993,0.0,0.6906781358925883,0.4897678323529724,1.029830073188081
MGC27382,0.017213752273146803,1.0173627626883663,0.023886195001764057,-0.0296023296580114,0.064029834204305,0.9708315276998418,1.0661242052543962,0.0,0.7206569431370514,0.47112060968660374,1.085831649227769
RPL28,0.01711996059715197,1.0172673470044276,0.02486017235662547,-0.03160508187129219,0.06584500306559612,0.9688891384204787,1.0680611581304873,0.0,0.6886501168037695,0.49104347457102193,1.0260773355786528
BLNK,0.017102877683204426,1.0172499692623087,0.02419972383058391,-0.030327709460555713,0.06453346482696456,0.970127561470285,1.0666612732823217,0.0,0.7067385480486186,0.479728969512882,1.0597085323322661
CEP295NL,0.017068862048667487,1.0172153674476263,0.02346654833199245,-0.028924727523506197,0.06306245162084118,0.9714895881416576,1.0650933539606096,0.0,0.7273699483701717,0.46699935874600806,1.0985075259686763
KRT4,0.017025455542581034,1.0171712146408545,0.02419607491758019,-0.030397979863109093,0.06444889094827116,0.9700593926111672,1.0665710654158567,0.0,0.7036453474613279,0.48165366342609683,1.0539319560171647
TTTY6,0.01702235405001072,1.0171680598967816,0.023612956366259864,-0.029258189996374397,0.06330289809639583,0.971165686828698,1.0653494826950978,0.0,0.720890420749418,0.47097693703055976,1.0862716797335594
C2orf27A,0.017003507342444355,1.017148889808458,0.024462172790537126,-0.030941470310604086,0.0649484849954928,0.9695323178408055,1.0671040510982284,0.0,0.6950939104240953,0.48699645079043263,1.0380168368419638
PDLIM7,0.016996463909970685,1.0171417256141673,0.025384226704356812,-0.032755706205968536,0.06674863402590991,0.9677749521280652,1.0690267274539471,0.0,0.6695679213680165,0.5031332690681947,0.9909875056758148
HEXD,0.016928152225284435,1.0170722453225107,0.02528441228537187,-0.032628385224306514,0.06648468967487538,0.9678981780294529,1.0687446011225943,0.0,0.669509420833092,0.503170573178985,0.9908805430400639
TSPY10,0.01691012240608326,1.017053907859124,0.023666018220093416,-0.02947442096276855,0.06329466577493507,0.970955713435899,1.065340712431788,0.0,0.7145317919059944,0.47489840465550015,1.074309185183983
UNQ9370,0.016833151090584638,1.0169756268946364,0.023829411836119817,-0.029871637880982686,0.06353794006215197,0.9705701099888623,1.0655999139615036,0.0,0.7064022900082458,0.47993799717733165,1.0590800576839845
NUTF2,0.016818183326607283,1.0169604051574002,0.025615489578703177,-0.03338725369401203,0.06702362034722659,0.9671639492470331,1.0693207356033758,0.0,0.6565630250764362,0.5114619301776435,0.9673012355383169
EEFSEC,0.01678050321018282,1.0169220866928614,0.024212582029395722,-0.030675285540154525,0.06423629196052016,0.9697904269291037,1.0663443375888917,0.0,0.6930488945710188,0.48827886774442497,1.0342227540613704
RABGAP1,0.01653600218368357,1.0166734785925016,0.02549121742600331,-0.03342586589336274,0.06649787026072987,0.9671266056407839,1.0687586878954018,0.0,0.6486940936298858,0.5165361228131531,0.9530588505770652
HCG4B,0.01653314874353449,1.0166705775797182,0.023605365051314324,-0.029732516598962075,0.06279881408603105,0.9707051463398522,1.0648125923856997,0.0,0.7003979268100299,0.48367883063709904,1.0478786987269377
CA5B,0.016515527468281683,1.0166526627054713,0.024725694586430102,-0.0319459434138583,0.06497699835042167,0.9685589376537498,1.0671344782485714,0.0,0.6679499906686421,0.5041655153699913,0.9880306528236442
AGR2,0.016510915170717795,1.0166479736116854,0.025433599766229633,-0.03333802436829862,0.06635985470973421,0.9672115632481016,1.068611192754756,0.0,0.6491772821179937,0.5162237939440579,0.9539314547844822
SLC7A6OS,0.016509995212203542,1.0166470383381563,0.024807958364692125,-0.03211270971256219,0.06513270013696928,0.9683974281321873,1.067300645929288,0.0,0.6655120493793378,0.5057230392947036,0.98358058986675
METTL16,0.016396670169527647,1.0165318332970816,0.025160580098736857,-0.03291716065413183,0.06571050099318712,0.9676187131702998,1.0679175113518704,0.0,0.6516809272752345,0.5146070289760565,0.9584569320254365
PAX2,0.01637547247953443,1.0165102853987948,0.024017421065534898,-0.030697807810447574,0.06344875276951643,0.9697685852929432,1.0655048802281082,0.0,0.681816437945259,0.49535502882052296,1.0134651965142318
OR6C74,0.016343038792813215,1.0164773167572996,0.023482921286632603,-0.029682641180775675,0.062368718766402105,0.9707535618723239,1.0643547199448877,0.0,0.695954246634396,0.4864574834293023,1.0396143764711605
CXorf1,0.016327203284348037,1.0164612204495924,0.023702965440441107,-0.030129755305714115,0.06278416187441019,0.970319621260694,1.0647969906405599,0.0,0.6888253423553147,0.4909331857217474,1.026401402703701
LLCFC1,0.016314034643944136,1.0164478351254291,0.023488632830890192,-0.029722839750685733,0.062350909038574,0.9707145397517235,1.0643357642458113,0.0,0.6945502005757161,0.4873372302541845,1.0370076530848922
ACTR5,0.01629333095079502,1.0164267911191938,0.024944306676454985,-0.032596611754378765,0.06518327365596881,0.9679289320016834,1.0673546244437133,0.0,0.6531883672747798,0.5136348487208537,0.9611850061904421
VENTXP7,0.016288648981824267,1.016422032251637,0.023518832588972586,-0.02980741585098892,0.06238471381463745,0.9706324439731631,1.0643717444861265,0.0,0.6925789756019447,0.4885738081561727,1.0333515703244291
