gene,mean_gate_score,std_gate_score
FAT1,0.5877791,0.103164755
GNA13,0.58770216,0.09226552
TMEM63A,0.5875769,0.11455472
ABCC8,0.58753663,0.14070843
H3C8,0.58751696,0.1245563
LOC728316,0.58745646,0.117343396
TEX43,0.587314,0.11996629
FAAP100,0.58728194,0.11103824
HOXD11,0.5872647,0.09869085
HSFX1,0.58714265,0.12920573
GTDC1,0.5869136,0.12555766
SLC5A3,0.5868307,0.12282011
FLJ20021,0.5868074,0.15476201
MYL3,0.58679664,0.14189167
MTCH2,0.5867931,0.097444035
NFIC,0.58667445,0.16909355
OGG1,0.5865564,0.11406917
TAF10,0.5862194,0.124861926
ERMP1,0.5861928,0.11336681
ST6GALNAC1,0.5861596,0.11199594
SOX6,0.5859282,0.12017743
TKTL2,0.5858297,0.11072509
LRRC32,0.58582747,0.10609329
CUEDC2,0.5857032,0.1467576
FRG1,0.58549076,0.12029646
TSNAXIP1,0.5853546,0.13413662
NKX2-2,0.5853264,0.101932585
RAB28,0.58507484,0.10963176
PCDHAC1,0.584981,0.15482643
SMPDL3B,0.58488506,0.1434821
ZNF700,0.58472794,0.11014868
SPATA6,0.5846175,0.11090318
SYTL3,0.5846055,0.09594873
PIP4P2,0.5843662,0.10829413
RNH1,0.5842591,0.13099182
H1-7,0.5842466,0.12642209
NDC1,0.58411205,0.11619531
PIGB,0.5841059,0.14303033
STX1B,0.5840865,0.10803023
HELZ2,0.5840627,0.100605085
QARS1,0.5840238,0.13093473
RRP7A,0.583754,0.11869466
SHF,0.58372587,0.1191376
SLC13A1,0.58361715,0.08325789
TRAPPC6A,0.58361363,0.15890612
NDUFB2,0.5831921,0.12483413
LOC646471,0.5831414,0.11792572
TNKS,0.58296233,0.10793946
CDC20,0.58294463,0.13195233
MCAT,0.5828833,0.095529184
RPS6KC1,0.5828494,0.14977363
NDFIP2,0.58279157,0.14249973
CDH6,0.5827204,0.17578143
FKBP9P1,0.5826986,0.114211395
KRT81,0.5824052,0.1734406
PDLIM7,0.58240294,0.12932608
MTBP,0.58234435,0.11576067
TPH1,0.58231294,0.12259789
NCOA4,0.5823013,0.10270293
SFTPA2,0.58225226,0.15001535
ACP4,0.58209336,0.09207836
DNALI1,0.5819334,0.14947149
ATP5PB,0.5818775,0.12543586
EBF1,0.5818661,0.14129542
SUMO1P1,0.5816095,0.12917057
FAM70B,0.58156556,0.115738295
ST7-AS1,0.5815612,0.122543044
HLCS,0.58153254,0.10951159
PIGH,0.5815063,0.10496662
MRPL23,0.5814794,0.10522807
DNAH10OS,0.5814665,0.13433212
CBR3,0.5814498,0.13760544
LRRC8D,0.5813615,0.15701665
HAND2,0.58132285,0.15958126
DNAH11,0.5812998,0.12866522
SPATA31A6,0.5812917,0.12140476
E2F3,0.5812858,0.12721717
MAGEA11,0.58104324,0.11371144
EXD2,0.5808634,0.15234727
NAMPT,0.5805764,0.1226624
CLN6,0.58032596,0.12593962
H19,0.58024824,0.1281737
ZNF536,0.5800809,0.14285026
TEX36,0.579938,0.117716804
LDAH,0.5799186,0.12823454
EIF4ENIF1,0.5797282,0.10979584
TRPM2,0.5795835,0.11697462
ERCC4,0.5795829,0.109950095
CD40LG,0.57957226,0.11725589
KLHDC3,0.57955724,0.13551179
C5orf24,0.5795452,0.1793319
AK057317,0.5794016,0.10260347
C1QC,0.5794003,0.12349351
TMEM47,0.5790828,0.11215128
SARS2,0.579073,0.11417564
DMXL1,0.5790292,0.11211537
GALNT18,0.57893133,0.1356821
C1orf100,0.57881045,0.12565878
DEFB1,0.5787939,0.11709817
WBSCR20C,0.5787665,0.1332523
EIF5B,0.57869154,0.10387922
EXTL2,0.5786516,0.12697901
IQSEC2,0.5785555,0.12415547
MLLT4,0.5785327,0.13875014
VPS52,0.5785223,0.12124154
SLC22A14,0.5785046,0.12968752
OR1J2,0.5784756,0.17865697
CPLX3,0.57842433,0.1514437
BRIX1,0.57808447,0.12884742
RETN,0.57803553,0.1034756
LINC02911,0.5780227,0.14272863
GRB10,0.5779249,0.13722938
CENPX,0.57788867,0.14125924
RPL13AP17,0.5778624,0.12272373
WNK1,0.5778318,0.14014693
QPRT,0.5778251,0.15556298
TBC1D2B,0.577792,0.1965271
NCF2,0.57777554,0.13855886
ACSM3,0.5776992,0.1333842
SNORD34,0.5775525,0.12011266
CDCA8,0.5774963,0.17805548
UGT1A1,0.5773608,0.12874086
ACTR3BP5,0.5773594,0.10833404
LEMD1,0.5773441,0.13931909
YWHAEP7,0.57728845,0.13340594
SHKBP1,0.57720757,0.1424618
GRIN2A,0.5771833,0.14763924
MED19,0.57697606,0.12924352
ZNF16,0.57693905,0.1437853
TMEM179,0.57692057,0.11429002
FAM86A,0.5767636,0.08744668
CENPM,0.5767521,0.14509317
POU5F1,0.5767031,0.13100483
SPOCK3,0.5766657,0.10194754
CRIP3,0.5766307,0.15645154
TCEAL4,0.5765252,0.14738443
BCL6B,0.5765016,0.09306781
NUTM1,0.5764485,0.14178991
VOPP1,0.576406,0.15584266
FERD3L,0.5763965,0.10684143
IGSF11,0.576352,0.11458168
LINC01184,0.57630616,0.14819919
TMEM220,0.5762183,0.14236546
DDX39B,0.57618344,0.17448123
FLNC,0.57601833,0.11602911
CCNI,0.5759687,0.1529321
TBC1D5,0.5759308,0.101321325
UBE2DNL,0.575771,0.13821432
LANCL3,0.5757688,0.1170512
LCE3B,0.5757373,0.11117849
