Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269)	1/32	2.997930e-02	8.145318e-02	0	0	3.575269e+01	1.253936e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916)	1/33	3.090229e-02	8.240611e-02	0	0	3.463368e+01	1.204187e+02	IL12A
GO_Biological_Process_2023	Regulation Of Interleukin-17 Production (GO:0032660)	1/34	3.182445e-02	8.332220e-02	0	0	3.358249e+01	1.157763e+02	IL12A
GO_Biological_Process_2023	Positive Regulation Of Interferon-Beta Production (GO:0032728)	1/36	3.366628e-02	8.441317e-02	0	0	3.166032e+01	1.073683e+02	RNF135
GO_Biological_Process_2023	Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)	1/36	3.366628e-02	8.441317e-02	0	0	3.166032e+01	1.073683e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)	1/37	3.458595e-02	8.441317e-02	0	0	3.077932e+01	1.035511e+02	IL12A
GO_Biological_Process_2023	Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)	1/37	3.458595e-02	8.441317e-02	0	0	3.077932e+01	1.035511e+02	IL12A
GO_Biological_Process_2023	Fatty Acid Transport (GO:0015908)	1/38	3.550479e-02	8.521150e-02	0	0	2.994595e+01	9.996219e+01	FABP6
GO_Biological_Process_2023	Negative Regulation Of Protein Secretion (GO:0050709)	1/39	3.642280e-02	8.598170e-02	0	0	2.915643e+01	9.658244e+01	IL12A
GO_Biological_Process_2023	Negative Regulation Of Secretion By Cell (GO:1903531)	1/40	3.733999e-02	8.672513e-02	0	0	2.840741e+01	9.339476e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of T Cell Mediated Immunity (GO:0002711)	1/43	4.008658e-02	9.162647e-02	0	0	2.637434e+01	8.483870e+01	IL12A
